Nome do Repositório,URL do Repositório,Framwork,Linguagem,URL Commit,Mensagem de confirmação,Causa,Categoria da Causa,Correção,Categoria de Correção,Identificação
cypress-example-kitchensink,https://github.com/cypress-io/cypress-example-kitchensink,Cypress,JS,https://github.com/cypress-io/cypress-example-kitchensink/pull/362/commits/475f28c372ed8100d1a64d4462fcad5e75b13afe,update flaky test,"
As vezes um objeto extra, no caso uma mensagem, postado por outra máquina, que é retonado como um objeto extra.

O código não lida com esse caso de objeto extra, esperando exatamente um valor pré estabelecido.",Interferência Externa,A asserção foi adaptada para verificar se o valor é uma das duas opções existentes: com ou sem mensagem extra.,"Correção de Lógica
",
cypress-example-kitchensink,https://github.com/cypress-io/cypress-example-kitchensink,Cypress,JS,https://github.com/cypress-io/cypress-example-kitchensink/pull/357/commits/7f94fd36fb8a5097e44ba100bb93cc2f0ed5ade3,update flaky network test,"No código é esperado um valor de id fixo quando, na realidadese, não se é possível determinar o valor que será retornado, sabe-se apenas o intervalo de valores possíveis para o id.",Aleatoriedade,"A asserção foi adaptada, trocado a verificação de um valor fixo por um valor variável, no caso, verifica se o valor de id retornado é maior que 100.","Correção de Lógica
",
cypress-example-kitchensink,https://github.com/cypress-io/cypress-example-kitchensink,Cypress,JS,https://github.com/cypress-io/cypress-example-kitchensink/commit/0722944ae3b820609772631d54d18c715db769ce,"use pathname arg so assertions retry the location call

-this prevents flake because location yields an unmutable object
whereby .its would retry and never get the new ‘values’
-by switching to location, it will be retried and will pull in the new
location values from the remote app","
A função location utilizada produz um objeto imutável pelo qual .its tentaria novamente e nunca obteria os novos 'valores'.",Problema de Lógica,Remoção da função its().,"Correção de Lógica
",
cypress-documentation,https://github.com/cypress-io/cypress-documentation,Cypress,CoffeeScript,https://github.com/cypress-io/cypress-documentation/commit/4274831a1d9480a1c6765c872bc146d522680ffa,"do not double visit on 'active' nav tests

- may prevent flake from visiting the guides twice in that first active
test.","Códigos com funções duplicadas, que realizavam acesso duas vezes a mesma guia.",Problema de Lógica,Remoção de trecho que fazia o acesso duas vezes seguidas a mesma guia.,"Correção de Lógica
",
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/659/commits/0ab257df0d9f0f0c53fe93024225a7022644ebc0,"Use a smarter wait
","
A Interface do usuário apresenta comportamento dinâmico,onde os elementos DOM aparecem e descem para que o elemento selecionado inicialmente se torne obsoleto após alguns milissegundos.

Não há como saber se o elemento ficará obsoleto ou não.",Problema no Tempo de animação,"Adição de espera explícita e um tryCatch, que tenta novamente até que o elemento possa ser verificado corretamente.",Correção de Lógica,
,,,,,,,,,"Adição de Espera
",
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/623/commits/3fdcc9fb729267389106be3af0123a6a05cebe02,Reduce timeout to the default value,O tempo limite de espera está muito alto.,Problema de Lógica,Remove a duração da espera que era passada como parâmetro para uma função de espera.,"Correção de Lógica
",
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/619/commits/4c207c07047798ba152acb9d658eaae5e8884918,"fix flakyness in obtaining the yui menus for dropdown
on some systems the menu would fail to be displayed when we tried to
click on it as it is shown asynchronously.

with this change we wait for it to be visible, and once clicked we wait
for it to be not visible also so we know the click has done something.","Em alguns sistemas, o botão demora a ser renderizado",Condição de corrida,"
Adição de espera explícita, para aguardar que o botão fique visível antes do clique e invisível depois do clique",Adição de Espera,
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/618/commits/baddcdf4f77ce532ba1b3177daedb1a0f3b2773f,"wait for the scritp console
The script console is added by Javascript and not completely ready with
the page load.
Therefore we need to wait for the parts we want to manipulate to be
ready.

Fixes a flaky test observed when using master.runStript() with the following failure:

```
org.openqa.selenium.NoSuchElementException:
Unable to locate element: //*[@path='/script']

```","O console de script é adicionado por Javascript e não está completamente pronto com 
o carregamento da página.",Condição de corrida,"
Adição de espera explícita, aguardando até que o elemento em questão apareça no DOM conforme ele é adicionado pelo JavaScript",Adição de Espera,
acceptance-test-harness,https://github.com/jenkinsci/acceptance-test-harness,Selenium-webdriver,Java,https://github.com/jenkinsci/acceptance-test-harness/pull/410/commits/3413c9ffc7093d014cf81327832d97545adfbf0c,"[JENKINS-49263] Remove login test from SmokeTest until is fixed
","O teste em questão é dependente das alterações da interface do usuário, por isso os devs optaram por retirar da suíte SmokeTest, por não serem totalmente confiáveis",-,"
Teste removido da Suíte SmokeTest.",Teste Ignorado,
